doc115-1|null|null|售后就更别提了，一买奔驰深似海啊！
doc115-3|null|null|转投宝马相当明智深似海啊～奔驰中国官僚化，整得自己还真个国企了。
doc394-1|null|null|而今瓦格纳加蔡澈几乎毁了奔驰百年基业
doc394-2|null|null|老款现在优惠40以上，奔驰的车越买越寒心。
doc402-1|null|null|悔青了肠子用日本车，哎！
doc589-1|null|null|希望4s加强售后服务，让我舒服点儿！
doc589-2|null|null|我最后拿到的并非低价，我承认我只为了颜色就买了，但随后我就开始非常讨厌奔驰价格战这件事儿！
doc1088-1|null|null|a6不适合女孩子啊！
doc1190-1|null|null|在沃尔沃全线撤退240马力四缸涡轮引擎这件事上，显示出了福特是真的够缺德――福特抢了沃尔沃的安全系统，但是沃尔沃想买福特的发动机都不给了。
doc1209-1|null|null|又一次抛锚，电瓶才用两年就彻底坏了，汽车价格打折，质量也跟着大打折扣
doc1979-1|null|null|目前消息看来售价各种坑爹反正我驾照还遥遥无期脑残的福特弱智的ecu位置还有薄的不能再薄的后排座椅唉坐等降价哇不行就上途观好了再说明年suv行情啧啧……
doc2151-1|null|null|总觉得奔驰在中国水土不服。。。
doc2151-2|null|null|但是奥迪的品牌跟奔驰比还是要差蛮多的。
doc2691-1|null|null|但一款80年代的车，居然占据中国汽车市场这么长时间，特别是进入00年后还赖着不走，严重影响了自主品牌的发展！
doc2800-1|null|null|大众还能再不要脸一点，上个世纪的车早该进博物馆了，还在这煽情。。。
doc2960-1|null|null|常州黑社会配置不行，出来执行任务的开个卡罗拉，估计帮会最近单子不多回款也差；
doc3095-2|null|null|开三轮丰田，奔极乐黄泉！
doc3095-4|null|null|凯美瑞，凯美瑞，投胎要排队！
doc3095-5|null|null|车到山前必有路，可惜丰田刹不住！
doc3095-8|null|null|买了丰田凯美瑞、太平间里安心睡！
doc3197-1|null|null|偶然发现，大众的车真疼，价格以疼痛力度来计算：会疼（辉腾）――慢疼（迈腾）――速疼（速腾），不厚道的大众！
doc3897-1|null|null|[胖哥试车]试驾丰田普锐斯从北京到大连840km一箱油跑完确实厉害，但刚算了一笔账，就拿这车最低配版本22w的来说，比起市面上同级1.8l比较好的车足贵了8万，这8万拿去加93号汽油，可以加10300升，按100km/10l耗油量来计算，足足可以行使10w公里
doc4045-1|null|null|丰田5a-fe发动机，卧槽尼玛啊！！
doc4172-1|null|null|奇瑞a3，长安悦翔，天津一汽威志存在极大风险，自主品牌让人担忧。
doc4450-1|null|null|某人车车保养了下7000多，让我心痛不已''7000可以买好多东西''奔驰真他妈的坑爹''同学的奥迪宝马都不用那么贵
doc5008-1|null|null|延展性和遮瑕略逊色于迪奥。
doc5209-1|null|null|对大众开始失望了。
doc5272-1|null|null|估计变速箱也有可能，动力总成一直是自主品牌的硬伤从袁总的长处短处论，极有可能是合作开发发动机，奇瑞在02年左右就和奥地利的avl合作开发发动机，可谓奇瑞的长处，而广汽目前可能短板就在发动机上，拭目以待！
doc5839-2|null|null|中国大众车主被强奸后还要被骗！
doc5959-1|null|null|大众的车设计猛一看还真看不出来有什么区别，什么新帕萨特，新迈腾，新朗逸，新宝来前脸看起来几乎都是一个样，设计趋同化很严重。
doc6127-1|null|null|大众系果然烧机油啊，帕萨特、迈腾、奥迪无一幸免
doc6129-1|null|null|我想买它的平板电脑我觉得而已，我打死不升级这界面好恶心
doc6813-1|null|null|操，让广汽去生产，彻底毁jeep这个牌子啊，看看丰田和本田，没有防撞梁，焊接的车门，这样的jeep，你可以想象吗？
doc6852-2|null|null|荣威，中国人的高端车，早知今日何必当初，其实从发展状况上看还不如奇瑞比亚迪，何必把自己当成奔驰奥迪。
doc6875-1|null|null|每次当看到奇瑞有新车要上市的时候就感觉有点想吐！
doc6875-2|null|null|真心不是不喜欢奇瑞而是这几年来奇瑞的设计不断的挑战了我的审美底线~
doc6952-1|null|null|从技术层面上来说，大多数日本车其实相当普通。
doc7026-3|null|null|嗯，我举报大众、丰田、本田等国外汽车公司存在与本案中耐克一样的高价简配的双重标准行为
