fileID|docID|sentID|sentence
-1|20161102142415|0|0|今天开车在加油站门口窜沟里去了
-1|20161102142415|0|1|前保险杠碰到地面了
-1|20161102142415|0|2|沟深半米
-1|20161102142415|0|3|陷在里面3个小时，碰到几个好心人帮忙拖车，拉断2个绳子，1根钢绳
-1|20161102142415|0|4|最后硬拖出来了
-1|20161102142415|0|5|右后屁股也碰了，最后没发现哪里碰坏
-1|20161102142415|0|6|明天早上再检查一下
-1|20161102142415|1|7|好像是从尾厢传出来的.我试了下后面全不放东西.还有千斤顶什么的都拿下来的.备胎也是紧紧的.但就是有点金属碰撞的声音请问下是哪出问题了
-1|20161102142415|2|8|年前就打算买车了，还在这发了个贴子，这几天准备去经销商那里询价定车，就再把速锐，宝峻，瑞纳等车子再看了一遍，觉得还是小三比较适合自己，明天去看车行开张没有
-1|20161102142415|3|9|本人90年吊丝i一枚
-1|20161102142415|3|10|想购车、家里支援点
-1|20161102142415|3|11|剩下自己掏
-1|20161102142415|3|12|米有限，18i提车预算之内
-1|20161102142415|3|13|20i超了
-1|20161102142415|3|14|纠结啊
-1|20161102142415|3|15|喜欢宝马
-1|20161102142415|3|16|多了也不懂
-1|20161102142415|3|17|愁了
-1|20161102142415|4|18|??????????????以前听车友说有刹车刺耳的响
-1|20161102142415|4|19|这两天才发现自己的小八也开响了，?开会了就不怎么响了
-1|20161102142415|4|20|这是怎么回事
-1|20161102142415|4|21|惯病
-1|20161102142415|5|22|车载蓝牙状态是?打开，手机蓝牙也是打开?可二者都没有反应?怎么配对啊?
-1|20161102142415|6|23|天传图总数不超过1000张
-1|20161102142415|7|24|找了大半天，进口标致只有一篇308sw的帖子
-1|20161102142415|7|25|CC车主在哪里讨论呢
-1|20161102142415|8|26|刚回东莞，累啊
-1|20161102142415|8|27|休息好了再发感想
-1|20161102142415|9|28|长安给消费者个说法，怎么连个说法都弄不来吗，不要拿那个口头上的保车一年来说事
-1|20161102142415|9|29|?强烈要求一次性解决乳化，本人每天赚10万，也要一个星期耽误一天的时间去清洗吗，本人要是借来的钱买的车，一星期一次清洗的挑费谁来给
-1|20161102142415|9|30|按我现在这个车的乳化情况一星期必须一次
-1|20161102142415|9|31|?强烈要求给个说法，不给大家团结一起，一起去投诉
-1|20161102142415|9|32|?不行大家一起团结一起选个日子都把车开会4S店堵他门口去，就说车坏了走不动了
-1|20161102142415|9|33|顶起，，，本人农民说话素质不好见谅
-1|20161102142415|9|34|买个车不容易
-1|20161102142415|10|35|?一段时间没上这论坛，现在被乳化搞这样了
-1|20161102142415|10|36|当时去4S好想买这车,一口价加7000，把我和我老婆呕了一肚子气
-1|20161102142415|10|37|现在送我也不要了
-1|20161102142415|10|38|长安看你牛
-1|20161102142415|11|39|这个发动机工作时间太长了，启动1000就工作一直到4000转
-1|20161102142415|11|40|整个是全生命工作啊
-1|20161102142415|11|41|minicoopers上也是这发动机吧
-1|20161102142415|11|42|能跑多少公里啊
-1|20161102142415|11|43|东标就保2年6万，还不如国产的发动机啊
-1|20161102142415|11|44|?专业人士，给个说吧，谢过了
-1|20161102142415|12|45|有小孩二个实在出行不方便，不用付房贷，我跟我老婆上班，家里还有套房子可以出租
-1|20161102142415|12|46|米少钱也不敢花
-1|20161102142415|12|47|准备贷款买个车，我想付个45000元车拿到手，其余贷款二年，听说贷款二年要一起买二年的全险
-1|20161102142415|12|48|哪位高人帮我算下我每月要还多少钱
-1|20161102142415|12|49|我最近算下1000一个月
-1|20161102142415|12|50|我想要个正确的数字
-1|20161102142415|13|51|再次发问：畅意版（带天窗的）什么时候能上市
-1|20161102142415|13|52|LZ我计划等到3月底，然后就放弃新风2
-1|20161102142415|14|53|前情：去年10月手欠，闲着没事填信息参加了摇号
-1|20161102142415|14|54|那么多人那么久也摇不上啊，所以姐也没当回事
-1|20161102142415|14|55|没想到啊没想到一万个没想到，11月姐就中签了啊
-1|20161102142415|14|56|半年的期限
-1|20161102142415|14|57|问题是姐不缺车开啊
-1|20161102142415|14|58|可是放弃不买坚决不是姐的风格
-1|20161102142415|14|59|宁费钱不废号
-1|20161102142415|14|60|败家啊
-1|20161102142415|14|61|呵呵
-1|20161102142415|14|62|过程：选车很是纠结，此处省略2万字
-1|20161102142415|14|63|写着费劲就说结果
-1|20161102142415|14|64|结果：节前几天最终回到起亚店再看K5，还是如开始般喜欢
-1|20161102142415|14|65|于是终于下决心就是他了
-1|20161102142415|14|66|这次买车主要方向就是外形和配置，落点中级车动力也就差不到哪去，买车那天因为下雪并且快过节了所以没试驾
-1|20161102142415|14|67|本想要2.4顶配，但销售说没有，说是厂家不生产因为没人买（真的假的
-1|20161102142415|14|68|）
-1|20161102142415|14|69|只好降格看2.0顶配，当时店里只有一辆白色，销售说一般买K5就冲白色，姐也觉得白色真的很帅
-1|20161102142415|14|70|但姐属于较有个性那种，看上了平时大街上没见过的红色
-1|20161102142415|14|71|萝卜白菜各有所爱，销售只好告诉姐，交定金，请回去耐心等，我们会尽快给您调车，要到节后了
-1|20161102142415|14|72|凑合也坚决不是姐的风格
-1|20161102142415|14|73|宁可等也不凑合
-1|20161102142415|14|74|嘿嘿，姐会耐心等待的，等小红到家再来告诉你们
-1|20161102142415|15|75|请教小三全车系的颜色，问一下f3白色能买到吗，（只有手豪有白色
-1|20161102142415|15|76|还是
-1|20161102142415|15|77|）
-1|20161102142415|15|78|我买的是黑色小三，山东烟台地区只有黑色，银色可选，黑色不耐脏啊，郁闷啊，银色不喜欢，纠结啊
-1|20161102142415|15|79|超喜欢白色想改个白色啊，羡慕嫉妒恨啊
-1|20161102142415|15|80|闲来无事，打听一下白色能买到吗
-1|20161102142415|15|81|（时间是2012年到2013年买）
-1|20161102142415|15|82|全车改色的前辈能讲一下改色的价格，质量等方面的信息吗...xie谢谢了啊
-1|20161102142415|16|83|平时上下班代步，200公斤以内带带货，周末偶尔一家6口郊游一下
-1|20161102142415|16|84|考虑2T有点超预算，⒉4顶配价格正好，但又纠结带T会不会是个趋势
-1|20161102142415|16|85|列位朋友帮我分析一下，我上哪个啊
-1|20161102142415|17|86|你好，郑师傅
-1|20161102142415|17|87|???我11年刚提的11款28.8万的2.4排量的新款GL8，到现在跑了6000公里，车况一直不错，在市区跑12个油左右，我想请问一下：???1、天冷启动车时方向盘跟中控抖动的很厉害，等热一会车就稍微差点了，但还是有抖动，请问这是什么情况，该做一下什么检查
-1|20161102142415|17|88|???2、等开一段距离，不论是几公里还是几十公里，等把车停下，挂入P挡方向盘跟中控还是有抖动，抖动幅度更昂热车没多大区别
-1|20161102142415|17|89|????????????????????麻烦郑师傅了
-1|20161102142415|17|90|此致?敬礼
-1|20161102142415|18|91|把原来电笔的灯泡和弹簧和在车里发现的对调了一下，试电，好用
-1|20161102142415|19|92|用哪个转接线真是十分的丑，在网上买的这个小东东，C30专用，一个转接口，一个读卡器，组合起来超小体积看看我车上的实际效果
-1|20161102142415|20|93|我的车是k5'是D版的'现在出现在行驶中'车里的阅读灯'就是顶灯跟后排的灯'突然一起亮起'开关也关不掉'过半分钟就自动熄灭'过一会又这样'这是怎么回事'大家帮我解答下'还反复出现这样
-1|20161102142415|21|94|河南，郑州，洛阳，三门峡新风云两厢手动锐意版什么价能买啊
-1|20161102142415|21|95|这几天准备买一辆呢，全包都包什么啊
-1|20161102142415|21|96|什么价
-1|20161102142415|21|97|新手，很多不懂的，多多关照
-1|20161102142415|21|98|谢谢
-1|20161102142415|22|99|真实油耗，城乡结合，外加高速，这车还真不错，操作也灵巧，开了5天，感觉还不错，准备卖了POLO，买它了呵呵
-1|20161102142415|23|100|一朋友的车启动不了，借我的车去搭线
-1|20161102142415|23|101|拔出来的时候那个负极的接口竟然松了
-1|20161102142415|23|102|而且，一上车，公里数和油耗什么的都清零了，吐槽一下
-1|20161102142415|24|103|车胎胎压多少正常啊
-1|20161102142415|24|104|新车充气已经两次了，是不是不正常啊，好像车子都是个把月都不用充气的啊
-1|20161102142415|24|105|车友们，你们的呢
-1|20161102142415|25|106|纳闷了，我的小3踢死不叫唤呢
-1|20161102142415|25|107|锁门的情况下，踢那都不想
-1|20161102142415|26|108|准备买车结婚了，看上了cs35，从发现断杆之后就不再关注，现在着急准备买了，又看到了爆乳
-1|20161102142415|26|109|今天到4s店看了一下，女朋友很喜欢，只要这个车了
-1|20161102142415|26|110|店里说问题解决了，换了配件
-1|20161102142415|26|111|求大神解答现在到底能不能买，是不是继续关注
-1|20161102142415|27|112|准备换，参考下
-1|20161102142415|28|113|本人现有一台天籁公爵2.0LXL舒适版，黑色，无极变速，官方价19.98万，优惠后裸车价19万，2011年3月购买，全程4S保养，已跑3万7千公里，车子无任何碰撞和事故，也没出过任何小问题，车子很省油，胎都没补过，因本人老婆想开SUV，所以想在论坛里看哪位想换轿车的朋友愿意和我对换不，不找差价，看好车后直接过户，我想换的智跑要求是2.0L自动两驱版GL，白色或者香槟色最好，有意向的朋友和我联系好吗，QQ是44265785，电话是13973913838.我在湖南武冈
-1|20161102142415|29|114|大年初一车放在银行门口，不知道哪个孙子给黑了
-1|20161102142415|30|115|今天高速匀速120油耗7.6左右油耗最少是90/1005个多点但是高速100太慢了开了一会100想通了一直开100瞬时油耗是少但是需要的时间长比如100里路跑100速度需要一个小时但是跑120的速度就不需要一个小时了最后算算费的油还是一样的只是行车电脑上的平均油耗少了其实根本不省油
-1|20161102142415|31|116|2KM,最爱这个角度会不会被套牌啊三年报废
-1|20161102142415|31|117|222222贰KM里程都没有，不知4S忘了还是有意识的
-1|20161102142415|31|118|这玩意多此一举，多余的，个人认为
-1|20161102142415|31|119|露半个班主任能给认证不
-1|20161102142415|31|120|本人还没有PASS，郁闷那，、望车兴叹，只能在里面玩玩移位了，
-1|20161102142415|32|121|-----------
-1|20161102142415|33|122|如题?谢谢
-1|20161102142415|34|123|谢谢指教
-1|20161102142415|35|124|大灯放在自动档上，仪表盘的灯有时候是不是也不亮呢，还是应该常亮，搞不清了，呵呵
-1|20161102142415|36|125|收高配车型的拆车件哈比如天窗，门板，座椅，中控等等哈QQ51273264注明k5
-1|20161102142415|37|126|我1月10号提的车，到现在惠民补贴都没拿到，一开始讲年前就能拿，后来又说过年后，眼下马上年就过完了，不知道又要拖到什么时候
-1|20161102142415|38|127|18i烧机油吗
-1|20161102142415|38|128|动力怎么样
-1|20161102142415|38|129|都遇见啥问题了
-1|20161102142415|39|130|CC的多功能方向盘合适高尔夫6吗?有闲置的没?请PM我
-1|20161102142415|40|131|有点不符合美系车的做法哟
-1|20161102142415|41|132|很喜欢已表态的真皮包裹，小5怎么没有之后上点乐山大佛照，呵呵，祝大家新年快乐万事如意话说那个人多，没有下山，挤在边上拍了拍
-1|20161102142415|41|133|四川江油窦团山?飞人，一家子表演呵呵
-1|20161102142415|41|134|来去匆忙手机照的，见谅，新年快乐，?小5手动挡还是很省油啊，一共加了600元，汉中到乐山，成都，绵阳，德阳，江油，回来还剩2格油，小2喝得多点
-1|20161102142415|42|135|有石家庄的车友吗
-1|20161102142415|42|136|年前的2.0精英优惠多少左右啊年后的行情会是多少??装备年后入手
-1|20161102142415|43|137|30081
-1|20161102142415|43|138|6T顶配拉菲红是不是只有黑内饰，订车时候忘记告诉4s了
-1|20161102142415|44|139|车头右下面底盘插破了晕，洗车时才知道
-1|20161102142415|45|140|今天打着车的时候
-1|20161102142415|45|141|突然发现仪表上一个黄色的水龙头一样的标志
-1|20161102142415|45|142|亮起来了
-1|20161102142415|45|143|这是第2次亮了
-1|20161102142415|45|144|?上次也是这样的情况
-1|20161102142415|45|145|我就开车去4S店检查一下
-1|20161102142415|45|146|因为我们那断路很颠簸`````开着开着那灯又不亮了
-1|20161102142415|45|147|4SSSS检查了下
-1|20161102142415|45|148|师傅说没什么问题
-1|20161102142415|45|149|??可是今天又亮起来了??哪位大哥知不知道故障在哪里啊
-1|20161102142415|45|150|谢谢
-1|20161102142415|46|151|1、加油时油枪自动跳掉后千万不要再加，尤其是夏天中午，本人有一次曾经导致行车途中汽油从泻气孔中喷洒而出的恐慌景象
-1|20161102142415|46|152|2、轮胎上千万不要用什么清洁或防老化剂，本人由于使用该类产品，导致2W公里时轮胎就出现成片的细小裂纹，4轮全部换掉
-1|20161102142415|46|153|3、车门锁在连续开关后会出现不能动作的情况，这是正常现象，过一会就好了，不是故障
-1|20161102142415|46|154|洗车时不要用加压水枪长时间冲洗四轮位置的内箍，那里有一层隔音涂料，多冲了可能会脱落
-1|20161102142415|46|155|4、如果你的车不慎和别的车刮蹭后，这车比较结实，一般的碰碰擦擦不会导致变形
-1|20161102142415|46|156|如果发现沾上了别人的油漆，不用担心，用砂蜡打一下就没事了
-1|20161102142415|46|157|5、4S店的雨刷质量很差，质地很硬，容易老化，建议去大超市自己买了装上就行了，3、40元的就行
-1|20161102142415|46|158|如果有一天突然发现后车门从里面打不开了，八成是洗车时不小心把儿童锁打开了
-1|20161102142415|46|159|6、不要等到缺油灯亮时才去加油，因为油泵是靠油箱里的汽油来冷却的，如果你坚持你的老习惯，那么你的油泵有可能比正常寿命要短得多
-1|20161102142415|46|160|7、不要在怠速时长时间开空调，我就是有一次这么干了之后，怠速开始抖得严重了
-1|20161102142415|46|161|可以试着每5000公里加一罐油嘴清洗添加剂，4S店有售，应该有好处，价钱也不贵
-1|20161102142415|46|162|8、不要去做什么封釉，这只会对你的车身漆造成永久损伤，如果你做了一次，那么你以后每年就要做3次以上，因为那玩意只能维持3-4个月
-1|20161102142415|46|163|9、雨后尽快洗车，每月打1-2次蜡就行了，这是对你爱车油漆的最好保护
-1|20161102142415|46|164|不要养成没事干擦灰尘的习惯，如果你想尽快使你的车漆变成亚光的除外
-1|20161102142415|46|165|10、如果你的车已经开了3年以上，请养成每2-3周看一下冷却液罐的习惯，因为水箱有可能有轻微泻漏，一般2-3周以内还不会漏光
-1|20161102142415|46|166|如果你的爱车还不到3年，那么看车下的地上就行了
-1|20161102142415|46|167|11、去4S店保养的时候，可以让工人顺便给你检查一下别的地方，用压缩空气吹一下空滤
-1|20161102142415|46|168|千万不要先跟接待员讲，他可能会收你检查费
-1|20161102142415|46|169|12、如果你的车停在地下停车库，上坡时即使是自动档也会溜车，因为坡道一般比地面道路包括高架上匝道要大得多，这样会对自排挡变速箱产生损伤
-1|20161102142415|46|170|请等前一辆车驶离后一次通过
-1|20161102142415|46|171|13、如果你听到车底发出一声清脆悦耳的撞击声，不用担心，那是有东西碰到了那块钢制保护板了，基本不会有问题（没有安装保护板的除外）；如果声音很闷，那么最好尽快到修理厂抬起来看一下
-1|20161102142415|46|172|14、如果前面一辆桑塔纳顺利骑过了一块石头，不要尝试你的LL也照样骑过去，虽然LL的理论离地间隙不小，但是有好多地方比桑塔纳要矮
-1|20161102142415|46|173|15、不要故意用任何一个轮胎去压地上的一个塑料袋或纸盒子，因为里面可能是钉子或螺丝
-1|20161102142415|46|174|虽然LL的排量不大，但在高速公路上你还是能超过前方的任何一辆卡车
-1|20161102142415|46|175|16、超大卡车或集装箱车前不要吝啬喇叭和灯光，超车时不要用大光灯，用你能忍受的最大速度超他，等超过了再降回原来速度
-1|20161102142415|46|176|不要相信什么短途不要开车的言论，2KM对车而言是短途，对人而言就是长跑了，车是为人服务的，该用就用
-1|20161102142415|46|177|17、平时备几个刹车灯泡在后备箱里，这东西坏了自己换了得了，有一次我去4S店更换还收我25元的人工费，一个灯泡才5块
-1|20161102142415|46|178|从此和这家店说拜拜
-1|20161102142415|46|179|18、堵车的时候可以顺便就着前后车的反光检查一下自己的灯光系统，前后车是年代久远的卡车例外
-1|20161102142415|46|180|19、xw虽然只有1.6排量，但在路口起步时还是可以轻松超过除出租车以外的大部分国产或合资车辆，即使是自动档
-1|20161102142415|46|181|但过了路口后就难说了
-1|20161102142415|46|182|20、反光镜里自己车身只要占10-20%就行了，把有限的可视范围留给其他地方吧
-1|20161102142415|46|183|已改装广角镜的除外
-1|20161102142415|46|184|右侧反光镜可以适当向下多一点，这样靠边停车时不容易刮到路肩
-1|20161102142415|46|185|21、如果你倒车时从后视镜里不能看到后车的玻璃水碰嘴了，请做好心理准备，你已经离他太近了
-1|20161102142415|46|186|22、如果你不能看见前面那辆车的后保险杠了，结果同上
-1|20161102142415|46|187|23、如果对面那辆车对你的闪灯提示无动于衷的话，不要也用大灯晃他，因为你没必要跟他一般见识，而且你的大灯没有他亮
-1|20161102142415|47|188|130码转速3500左右正常吗
-1|20161102142415|48|189|虚心请教各位狮友：????最近我和LD看上了308，但是由于本地（江苏连云港）的标致4S店刚倒闭了，所以必须去邻近的城市提车，我想问1.异地购车上本地的牌照要准备哪些东西呢
-1|20161102142415|48|190|2.以后做保养的时候会不会有影响呢
-1|20161102142415|48|191|本人是纯新手，没有任何经验，请大家告知，谢谢
-1|20161102142415|49|192|小七上高速很爽
-1|20161102142415|49|193|开到140码很稳
-1|20161102142415|49|194|一路上超越很好好车
-1|20161102142415|49|195|心里很爽
-1|20161102142415|49|196|唯一感觉不好的就是
-1|20161102142415|49|197|冷车点火困难
-1|20161102142415|49|198|过几天再去4s店彻底检测一下
-1|20161102142415|50|199|旧车卖了有了购车指标，可半年期限就要到了，暂时还不想购车，怎么办
-1|20161102142415|50|200|购车指标为什么要限期呢
-1|20161102142415|50|201|有些人近期不想买车，对北京现阶段的大气就少了一份污染，何乐而不为呢
